World Port Index Number,Region Name,Main Port Name,Latitude,Longitude
280,Iceland  North Coast -- 200,Dalvik,65.983333,-18.516667
29490,Sjaelland -- 29150,Kalundborg,55.683333,11.1
420,Iceland  East Coast -- 360,Neskaupstadur,65.15,-13.683333
28890,Germany -- 28826,Lubeck,53.883333,10.7
30160,Jylland -- 30020,Kolding,55.483333,9.5
28870,Germany -- 28826,Wismar,53.9,11.466667
28620,Latvia -- 28600,Ventspils,57.4,21.533333
28920,Germany -- 28826,Heiligenhafen,54.366667,10.983333
24790,Oland -- 24735,Degerhamn,56.35,16.416667
29830,Fyn -- 29820,Svendborg,55.066667,10.616667
28640,Latvia -- 28600,Liepaja,56.516667,21.016667
28950,Germany -- 28826,Eckernforde,54.483333,9.833333
30060,Jylland -- 30020,Sonderborg,54.916667,9.783333
605,Greenland  West Coast -- 545,Gronnedal (Kangilinnguit),61.233333,-48.1
28654,Lithuania -- 28650,Butinge Oil Terminal,56.033333,20.95
105,Iceland  West Coast -- 60,Grundartangi,64.266667,-22
100,Iceland  West Coast -- 60,Reykjavik,64.15,-21.933333
810,Greenland  West Coast -- 545,Illulissat (Jakobshavn),69.216667,-51.1
29790,Aero -- 29780,Marstal,54.916667,10.333333
760,Greenland  West Coast -- 545,Aasiaat,68.71083333,-52.86833333
29005,Germany -- 28826,Flensburg,54.8,9.433333
29930,Fyn -- 29820,Assens,55.266667,9.883333
29910,Fyn -- 29820,Middelfart,55.5,9.733333
28530, ,Roomassaare,58.21504,22.50695
29630,Falster -- 29570,Nykobing,54.766667,11.866667
480,Iceland  East Coast -- 360,Hornafjordur,64.25,-15.233333
840,Greenland  West Coast -- 545,Qeqertarsuaq,69.233333,-53.533333
80,Iceland  West Coast -- 60,Hafnarfjordur,64.066667,-21.95
30120,Jylland -- 30020,Haderslev,55.25,9.5
28840,Germany -- 28826,Sassnitz,54.516667,13.65
28860,Germany -- 28826,Rostock,54.1,12.133333
28660,Lithuania -- 28650,Klaipeda,55.716667,21.116667
29760,Langeland -- 29730,Rudkobing,54.95,10.716667
28605,Latvia -- 28600,Salacgriva,57.7,24.366667
29880,Fyn -- 29820,Odense,55.416667,10.383333
29940,Fyn -- 29820,Faborg,55.1,10.25
29230,Sjaelland -- 29150,Kobenhavn,55.7,12.616667
170,Iceland  West Coast -- 60,Thingeyri,65.883333,-23.483333
29860,Fyn -- 29820,Nyborg,55.316667,10.8
29870,Fyn -- 29820,Kerteminde,55.45,10.666667
640,Greenland  West Coast -- 545,Nuuk,64.183333,-51.75
28955,Germany -- 28826,Kappeln,54.666667,9.933333
310,Iceland  North Coast -- 200,Akureyri,65.683333,-18.083333
29110,Bornholm -- 29020,Ronne,55.1,14.7
250,Iceland  North Coast -- 200,Saudarkrokur,65.75,-19.666667
190,Iceland  West Coast -- 60,Isafjordur,66.066667,-23.116667
24690,Sweden -- 23860,Oskarshamn,57.266667,16.45
30190,Jylland -- 30020,Vejle,55.716667,9.55
185,Iceland  West Coast -- 60,Bolungarvik,66.166667,-23.233333
560,Greenland  West Coast -- 545,Nanortalik Havn,60.116667,-45.2
690,Greenland  West Coast -- 545,Sisimiut,66.916667,-53.7
260,Iceland  North Coast -- 200,Siglufjorhurd,66.15,-18.916667
